Director,IMDb Page
Mascha Halberstad,"{'Director': 'Mascha Halberstad', 'IMDb Page': 'https://www.imdb.com/name/nm0354722/?ref_=fn_nme_nme_1'}"
Emily Ting,"{'Director': 'Emily Ting', 'IMDb Page': 'https://www.imdb.com/name/nm1733017/?ref_=fn_nme_nme_1'}"
Denisa Abrhámová,"{'Director': 'Denisa Abrhámová', 'IMDb Page': 'https://www.imdb.com/name/nm1703610/?ref_=fn_nme_nme_1'}"
Yael Russcol,"{'Director': 'Yael Russcol', 'IMDb Page': 'https://www.imdb.com/name/nm0750924/?ref_=fn_nme_nme_1'}"
Chiang Hsiu-Chiung,"{'Director': 'Chiang Hsiu-Chiung', 'IMDb Page': 'https://www.imdb.com/name/nm0944594/?ref_=fn_nme_nme_1'}"
Kim Farrant,"{'Director': 'Kim Farrant', 'IMDb Page': 'https://www.imdb.com/name/nm2040537/?ref_=fn_nme_nme_1'}"
Anvita Dutt,"{'Director': 'Anvita Dutt', 'IMDb Page': 'https://www.imdb.com/name/nm2101751/?ref_=fn_nme_nme_1'}"
Nanda Anand,"{'Director': 'Nanda Anand', 'IMDb Page': 'https://www.imdb.com/name/nm1823194/?ref_=fn_nme_nme_1'}"
Marie Wilke,"{'Director': 'Marie Wilke', 'IMDb Page': 'https://www.imdb.com/name/nm7118976/?ref_=fn_nme_nme_1'}"
Sabrina Ratté,"{'Director': 'Sabrina Ratté', 'IMDb Page': 'https://www.imdb.com/name/nm0711890/?ref_=fn_nme_nme_1'}"
Nina Grosse,"{'Director': 'Nina Grosse', 'IMDb Page': 'https://www.imdb.com/name/nm0343547/?ref_=fn_nme_nme_1'}"
Puk Grasten,"{'Director': 'Puk Grasten', 'IMDb Page': 'https://www.imdb.com/name/nm0335980/?ref_=fn_nme_nme_1'}"
Vivian Naefe,"{'Director': 'Vivian Naefe', 'IMDb Page': 'https://www.imdb.com/name/nm0618996/?ref_=fn_nme_nme_1'}"
Samantha Lang,"{'Director': 'Samantha Lang', 'IMDb Page': 'https://www.imdb.com/name/nm0485904/?ref_=fn_nme_nme_1'}"
Kristian Petri,"{'Director': 'Kristian Petri', 'IMDb Page': 'https://www.imdb.com/name/nm0677892/?ref_=fn_nme_nme_1'}"
Zabou Breitman,"{'Director': 'Zabou Breitman', 'IMDb Page': 'https://www.imdb.com/name/nm0951456/?ref_=fn_nme_nme_1'}"
Oorvazi Irani,"{'Director': 'Oorvazi Irani', 'IMDb Page': 'https://www.imdb.com/name/nm7673368/?ref_=fn_nme_nme_1'}"
Branwen Okpako,"{'Director': 'Branwen Okpako', 'IMDb Page': 'https://www.imdb.com/name/nm0645701/?ref_=fn_nme_nme_1'}"
Valeria Sarmiento,"{'Director': 'Valeria Sarmiento', 'IMDb Page': 'https://www.imdb.com/name/nm0765384/?ref_=fn_nme_nme_1'}"
Pantea Lachin,"{'Director': 'Pantea Lachin', 'IMDb Page': 'https://www.imdb.com/name/nm13723952/?ref_=fn_nme_nme_1'}"
Mina Shum,"{'Director': 'Mina Shum', 'IMDb Page': 'https://www.imdb.com/name/nm0795803/?ref_=fn_nme_nme_1'}"
Jannicke Systad Jacobsen,"{'Director': 'Jannicke Systad Jacobsen', 'IMDb Page': 'https://www.imdb.com/name/nm0414728/?ref_=fn_nme_nme_1'}"
Leslie Franke,"{'Director': 'Leslie Franke', 'IMDb Page': 'https://www.imdb.com/name/nm2383035/?ref_=fn_nme_nme_1'}"
Pearl Bowser,"{'Director': 'Pearl Bowser', 'IMDb Page': 'https://www.imdb.com/name/nm0101463/?ref_=fn_nme_nme_1'}"
Sharon Lewis,"{'Director': 'Sharon Lewis', 'IMDb Page': 'https://www.imdb.com/name/nm0507746/?ref_=fn_nme_nme_1'}"
Han Ka-ram,"{'Director': 'Han Ka-ram', 'IMDb Page': 'https://www.imdb.com/name/nm10085606/?ref_=fn_nme_nme_1'}"
Camille de Casabianca,"{'Director': 'Camille de Casabianca', 'IMDb Page': 'https://www.imdb.com/name/nm0142674/?ref_=fn_nme_nme_1'}"
Chus Gutiérrez,"{'Director': 'Chus Gutiérrez', 'IMDb Page': 'https://www.imdb.com/name/nm0349484/?ref_=fn_nme_nme_1'}"
Dominga Sotomayor Castillo,"{'Director': 'Dominga Sotomayor Castillo', 'IMDb Page': 'https://www.imdb.com/name/nm3049622/?ref_=fn_nme_nme_1'}"
Paprika Steen,"{'Director': 'Paprika Steen', 'IMDb Page': 'https://www.imdb.com/name/nm0824785/?ref_=fn_nme_nme_1'}"
Luise Brinkmann,"{'Director': 'Luise Brinkmann', 'IMDb Page': 'https://www.imdb.com/name/nm2543630/?ref_=fn_nme_nme_1'}"
Mercedes Álvarez,"{'Director': 'Mercedes Álvarez', 'IMDb Page': 'https://www.imdb.com/name/nm0959484/?ref_=fn_nme_nme_1'}"
Ry Russo-Young,"{'Director': 'Ry Russo-Young', 'IMDb Page': 'https://www.imdb.com/name/nm1735543/?ref_=fn_nme_nme_1'}"
Louise Osmond,"{'Director': 'Louise Osmond', 'IMDb Page': 'https://www.imdb.com/name/nm1031790/?ref_=fn_nme_nme_1'}"
Catalina Florez Ibarra,"{'Director': 'Catalina Florez Ibarra', 'IMDb Page': 'https://www.imdb.com/name/nm16509499/?ref_=fn_nme_nme_1'}"
Karin af Klintberg,"{'Director': 'Karin af Klintberg', 'IMDb Page': 'https://www.imdb.com/name/nm1069543/?ref_=fn_nme_nme_1'}"
Roxanne Messina Captor,"{'Director': 'Roxanne Messina Captor', 'IMDb Page': 'https://www.imdb.com/name/nm0135710/?ref_=fn_nme_nme_1'}"
Gabriela Zerhau,"{'Director': 'Gabriela Zerhau', 'IMDb Page': 'https://www.imdb.com/name/nm0955055/?ref_=fn_nme_nme_1'}"
Susanna Helke,"{'Director': 'Susanna Helke', 'IMDb Page': 'https://www.imdb.com/name/nm0375155/?ref_=fn_nme_nme_1'}"
Saara Saarela,"{'Director': 'Saara Saarela', 'IMDb Page': 'https://www.imdb.com/name/nm0754330/?ref_=fn_nme_nme_1'}"
Birgit Grosskopf,"{'Director': 'Birgit Grosskopf', 'IMDb Page': 'https://www.imdb.com/name/nm1589083/?ref_=fn_nme_nme_1'}"
Vanya Rose,"{'Director': 'Vanya Rose', 'IMDb Page': 'https://www.imdb.com/name/nm0741722/?ref_=fn_nme_nme_1'}"
Shuchi Talati,"{'Director': 'Shuchi Talati', 'IMDb Page': 'https://www.imdb.com/name/nm2568240/?ref_=fn_nme_nme_1'}"
Meral Uslu,"{'Director': 'Meral Uslu', 'IMDb Page': 'https://www.imdb.com/name/nm1589704/?ref_=fn_nme_nme_1'}"
Rita Horst,"{'Director': 'Rita Horst', 'IMDb Page': 'https://www.imdb.com/name/nm0395483/?ref_=fn_nme_nme_1'}"
Mijke de Jong,"{'Director': 'Mijke de Jong', 'IMDb Page': 'https://www.imdb.com/name/nm0209010/?ref_=fn_nme_nme_1'}"
Vidi Bilu,"{'Director': 'Vidi Bilu', 'IMDb Page': 'https://www.imdb.com/name/nm0571106/?ref_=fn_nme_nme_1'}"
Donatella Baglivo,"{'Director': 'Donatella Baglivo', 'IMDb Page': 'https://www.imdb.com/name/nm0046745/?ref_=fn_nme_nme_1'}"
Ellen ten Damme,"{'Director': 'Ellen ten Damme', 'IMDb Page': 'https://www.imdb.com/name/nm0854829/?ref_=fn_nme_nme_1'}"
Olivia Caciuleanu,"{'Director': 'Olivia Caciuleanu', 'IMDb Page': 'https://www.imdb.com/name/nm3519299/?ref_=fn_nme_nme_1'}"
Jette Bitten Glibstrup,"{'Director': 'Jette Bitten Glibstrup', 'IMDb Page': 'https://www.imdb.com/name/nm7273758/?ref_=fn_nme_nme_1'}"
Sandra Nashaat,"{'Director': 'Sandra Nashaat', 'IMDb Page': 'https://www.imdb.com/name/nm1245382/?ref_=fn_nme_nme_1'}"
Małgorzata Szumowska,"{'Director': 'Małgorzata Szumowska', 'IMDb Page': 'https://www.imdb.com/name/nm0844333/?ref_=fn_nme_nme_1'}"
Laura Ludmilla Sørensen,"{'Director': 'Laura Ludmilla Sørensen', 'IMDb Page': 'https://www.imdb.com/name/nm1861341/?ref_=fn_nme_nme_1'}"
Chairun Nissa,"{'Director': 'Chairun Nissa', 'IMDb Page': 'https://www.imdb.com/name/nm5143448/?ref_=fn_nme_nme_1'}"
Lizzy Borden,"{'Director': 'Lizzy Borden', 'IMDb Page': 'https://www.imdb.com/name/nm8334897/?ref_=fn_nme_nme_1'}"
Simone North,"{'Director': 'Simone North', 'IMDb Page': 'https://www.imdb.com/name/nm0636066/?ref_=fn_nme_nme_1'}"
Antonella Bertocchi,"{'Director': 'Antonella Bertocchi', 'IMDb Page': 'https://www.imdb.com/name/nm6315672/?ref_=fn_nme_nme_1'}"
Q59381710,"{'Director': 'Q59381710', 'IMDb Page': 'Not Found'}"
Ana Dumitrescu,"{'Director': 'Ana Dumitrescu', 'IMDb Page': 'https://www.imdb.com/name/nm4291122/?ref_=fn_nme_nme_1'}"
Jen Senko,"{'Director': 'Jen Senko', 'IMDb Page': 'https://www.imdb.com/name/nm0784372/?ref_=fn_nme_nme_1'}"
María Aparicio,"{'Director': 'María Aparicio', 'IMDb Page': 'https://www.imdb.com/name/nm7165575/?ref_=fn_nme_nme_1'}"
Sammaria Simanjuntak,"{'Director': 'Sammaria Simanjuntak', 'IMDb Page': 'https://www.imdb.com/name/nm3604888/?ref_=fn_nme_nme_1'}"
Sandrine Ray,"{'Director': 'Sandrine Ray', 'IMDb Page': 'https://www.imdb.com/name/nm0712995/?ref_=fn_nme_nme_1'}"
Anne Høegh Krohn,"{'Director': 'Anne Høegh Krohn', 'IMDb Page': 'https://www.imdb.com/name/nm0406033/?ref_=fn_nme_nme_1'}"
Sabina Guzzanti,"{'Director': 'Sabina Guzzanti', 'IMDb Page': 'https://www.imdb.com/name/nm0350127/?ref_=fn_nme_nme_1'}"
Zarqa Nawaz,"{'Director': 'Zarqa Nawaz', 'IMDb Page': 'https://www.imdb.com/name/nm0623182/?ref_=fn_nme_nme_1'}"
Anne Fontaine,"{'Director': 'Anne Fontaine', 'IMDb Page': 'https://www.imdb.com/name/nm0284774/?ref_=fn_nme_nme_1'}"
Havana Marking,"{'Director': 'Havana Marking', 'IMDb Page': 'https://www.imdb.com/name/nm2035483/?ref_=fn_nme_nme_1'}"
Nataliya Belyauskene,"{'Director': 'Nataliya Belyauskene', 'IMDb Page': 'https://www.imdb.com/name/nm3403456/?ref_=fn_nme_nme_1'}"
Fijona Jonuzi,"{'Director': 'Fijona Jonuzi', 'IMDb Page': 'https://www.imdb.com/name/nm3133047/?ref_=fn_nme_nme_1'}"
Maryanne Zehil,"{'Director': 'Maryanne Zehil', 'IMDb Page': 'https://www.imdb.com/name/nm2286540/?ref_=fn_nme_nme_1'}"
Catherine Hébert,"{'Director': 'Catherine Hébert', 'IMDb Page': 'https://www.imdb.com/name/nm2436289/?ref_=fn_nme_nme_1'}"
Ursula Liang,"{'Director': 'Ursula Liang', 'IMDb Page': 'https://www.imdb.com/name/nm0508659/?ref_=fn_nme_nme_1'}"
Anna Muylaert,"{'Director': 'Anna Muylaert', 'IMDb Page': 'https://www.imdb.com/name/nm1155957/?ref_=fn_nme_nme_1'}"
Françoise Prenant,"{'Director': 'Françoise Prenant', 'IMDb Page': 'https://www.imdb.com/name/nm0695950/?ref_=fn_nme_nme_1'}"
Robin Bain,"{'Director': 'Robin Bain', 'IMDb Page': 'https://www.imdb.com/name/nm1087375/?ref_=fn_nme_nme_1'}"
Katie Bender,"{'Director': 'Katie Bender', 'IMDb Page': 'https://www.imdb.com/name/nm4732365/?ref_=fn_nme_nme_1'}"
Lucía Puenzo,"{'Director': 'Lucía Puenzo', 'IMDb Page': 'https://www.imdb.com/name/nm0699932/?ref_=fn_nme_nme_1'}"
Lotte Svendsen,"{'Director': 'Lotte Svendsen', 'IMDb Page': 'https://www.imdb.com/name/nm0841041/?ref_=fn_nme_nme_1'}"
Sabine Boss,"{'Director': 'Sabine Boss', 'IMDb Page': 'https://www.imdb.com/name/nm0098086/?ref_=fn_nme_nme_1'}"
Carol Pineau,"{'Director': 'Carol Pineau', 'IMDb Page': 'https://www.imdb.com/name/nm4435977/?ref_=fn_nme_nme_1'}"
Mari Rantasila,"{'Director': 'Mari Rantasila', 'IMDb Page': 'https://www.imdb.com/name/nm0710490/?ref_=fn_nme_nme_1'}"
Lucy Rogers,"{'Director': 'Lucy Rogers', 'IMDb Page': 'https://www.imdb.com/name/nm2607105/?ref_=fn_nme_nme_1'}"
Ashima Chibber,"{'Director': 'Ashima Chibber', 'IMDb Page': 'Not Found'}"
Mali Elfman,"{'Director': 'Mali Elfman', 'IMDb Page': 'https://www.imdb.com/name/nm1689712/?ref_=fn_nme_nme_1'}"
Berit Madsen,"{'Director': 'Berit Madsen', 'IMDb Page': 'https://www.imdb.com/name/nm5743956/?ref_=fn_nme_nme_1'}"
Mae Czarina Cruz-Alviar,"{'Director': 'Mae Czarina Cruz-Alviar', 'IMDb Page': 'https://www.imdb.com/name/nm0190389/?ref_=fn_nme_nme_1'}"
Mia Hansen-Løve,"{'Director': 'Mia Hansen-Løve', 'IMDb Page': 'https://www.imdb.com/name/nm0361135/?ref_=fn_nme_nme_1'}"
Marja Pyykkö,"{'Director': 'Marja Pyykkö', 'IMDb Page': 'https://www.imdb.com/name/nm0701603/?ref_=fn_nme_nme_1'}"
Sue Brooks,"{'Director': 'Sue Brooks', 'IMDb Page': 'https://www.imdb.com/name/nm0112262/?ref_=fn_nme_nme_1'}"
Arantxa Echevarría,"{'Director': 'Arantxa Echevarría', 'IMDb Page': 'https://www.imdb.com/name/nm0248401/?ref_=fn_nme_nme_1'}"
Marie-Josée Saint-Pierre,"{'Director': 'Marie-Josée Saint-Pierre', 'IMDb Page': 'https://www.imdb.com/name/nm3444325/?ref_=fn_nme_nme_1'}"
Christina Olofson,"{'Director': 'Christina Olofson', 'IMDb Page': 'https://www.imdb.com/name/nm0647498/?ref_=fn_nme_nme_1'}"
Stephanie Soechtig,"{'Director': 'Stephanie Soechtig', 'IMDb Page': 'https://www.imdb.com/name/nm3253001/?ref_=fn_nme_nme_1'}"
Mariloup Wolfe,"{'Director': 'Mariloup Wolfe', 'IMDb Page': 'https://www.imdb.com/name/nm0938105/?ref_=fn_nme_nme_1'}"
Sylvie Michel,"{'Director': 'Sylvie Michel', 'IMDb Page': 'https://www.imdb.com/name/nm0584936/?ref_=fn_nme_nme_1'}"
Sue Heel,"{'Director': 'Sue Heel', 'IMDb Page': 'https://www.imdb.com/name/nm1385402/?ref_=fn_nme_nme_1'}"
Elite Zexer,"{'Director': 'Elite Zexer', 'IMDb Page': 'https://www.imdb.com/name/nm1938355/?ref_=fn_nme_nme_1'}"
Maria Rytter,"{'Director': 'Maria Rytter', 'IMDb Page': 'https://www.imdb.com/name/nm1914247/?ref_=fn_nme_nme_1'}"
Alexa Wolf,"{'Director': 'Alexa Wolf', 'IMDb Page': 'https://www.imdb.com/name/nm4972602/?ref_=fn_nme_nme_1'}"
Priscilla Guy,"{'Director': 'Priscilla Guy', 'IMDb Page': 'https://www.imdb.com/name/nm0001636/?ref_=fn_nme_nme_1'}"
Sylvie Groulx,"{'Director': 'Sylvie Groulx', 'IMDb Page': 'https://www.imdb.com/name/nm10623148/?ref_=fn_nme_nme_1'}"
Mrunalini Patil,"{'Director': 'Mrunalini Patil', 'IMDb Page': 'https://www.imdb.com/name/nm7731083/?ref_=fn_nme_nme_1'}"
Çağla Zencirci,"{'Director': 'Çağla Zencirci', 'IMDb Page': 'https://www.imdb.com/name/nm1577474/?ref_=fn_nme_nme_1'}"
Elsa Kvamme,"{'Director': 'Elsa Kvamme', 'IMDb Page': 'https://www.imdb.com/name/nm0476931/?ref_=fn_nme_nme_1'}"
Roser Aguilar,"{'Director': 'Roser Aguilar', 'IMDb Page': 'https://www.imdb.com/name/nm0013607/?ref_=fn_nme_nme_1'}"
Aruna Biswas,"{'Director': 'Aruna Biswas', 'IMDb Page': 'https://www.imdb.com/name/nm7854135/?ref_=fn_nme_nme_1'}"
Rachel Lang,"{'Director': 'Rachel Lang', 'IMDb Page': 'https://www.imdb.com/name/nm4540217/?ref_=fn_nme_nme_1'}"
Graciela Taquini,"{'Director': 'Graciela Taquini', 'IMDb Page': 'https://www.imdb.com/name/nm2208241/?ref_=fn_nme_nme_1'}"
Geneviève Lefebvre,"{'Director': 'Geneviève Lefebvre', 'IMDb Page': 'https://www.imdb.com/name/nm0498872/?ref_=fn_nme_nme_1'}"
Isabel Ginés,"{'Director': 'Isabel Ginés', 'IMDb Page': 'https://www.imdb.com/name/nm13417172/?ref_=fn_nme_nme_1'}"
Ursula Macfarlane,"{'Director': 'Ursula Macfarlane', 'IMDb Page': 'https://www.imdb.com/name/nm0532237/?ref_=fn_nme_nme_1'}"
Trine Heller Jensen,"{'Director': 'Trine Heller Jensen', 'IMDb Page': 'https://www.imdb.com/name/nm1720047/?ref_=fn_nme_nme_1'}"
Signe Roderik,"{'Director': 'Signe Roderik', 'IMDb Page': 'https://www.imdb.com/name/nm9581026/?ref_=fn_nme_nme_1'}"
TANG Chen-Yu,"{'Director': 'TANG Chen-Yu', 'IMDb Page': 'https://www.imdb.com/name/nm5779342/?ref_=fn_nme_nme_1'}"
Rebecka Lindberg,"{'Director': 'Rebecka Lindberg', 'IMDb Page': 'https://www.imdb.com/name/nm1723026/?ref_=fn_nme_nme_1'}"
Nina Hedenius,"{'Director': 'Nina Hedenius', 'IMDb Page': 'https://www.imdb.com/name/nm0373222/?ref_=fn_nme_nme_1'}"
Amy J. Berg,"{'Director': 'Amy J. Berg', 'IMDb Page': 'https://www.imdb.com/name/nm1332844/?ref_=fn_nme_nme_1'}"
Jeong Jae-eun,"{'Director': 'Jeong Jae-eun', 'IMDb Page': 'https://www.imdb.com/name/nm1062423/?ref_=fn_nme_nme_1'}"
Amanda Sandrelli,"{'Director': 'Amanda Sandrelli', 'IMDb Page': 'https://www.imdb.com/name/nm0762246/?ref_=fn_nme_nme_1'}"
Léa Fazer,"{'Director': 'Léa Fazer', 'IMDb Page': 'https://www.imdb.com/name/nm1481060/?ref_=fn_nme_nme_1'}"
Montse Tió Cirera,"{'Director': 'Montse Tió Cirera', 'IMDb Page': 'Not Found'}"
Marina Rice Bader,"{'Director': 'Marina Rice Bader', 'IMDb Page': 'https://www.imdb.com/name/nm3742962/?ref_=fn_nme_nme_1'}"
Maria Mac Dalland,"{'Director': 'Maria Mac Dalland', 'IMDb Page': 'https://www.imdb.com/name/nm0198017/?ref_=fn_nme_nme_1'}"
Emem Isong,"{'Director': 'Emem Isong', 'IMDb Page': 'https://www.imdb.com/name/nm2130579/?ref_=fn_nme_nme_1'}"
Hannah Fidell,"{'Director': 'Hannah Fidell', 'IMDb Page': 'https://www.imdb.com/name/nm4227232/?ref_=fn_nme_nme_1'}"
Giuliana Berlinguer,"{'Director': 'Giuliana Berlinguer', 'IMDb Page': 'https://www.imdb.com/name/nm0075675/?ref_=fn_nme_nme_1'}"
Josée Dayan,"{'Director': 'Josée Dayan', 'IMDb Page': 'https://www.imdb.com/name/nm0196797/?ref_=fn_nme_nme_1'}"
Simona Izzo,"{'Director': 'Simona Izzo', 'IMDb Page': 'https://www.imdb.com/name/nm0412873/?ref_=fn_nme_nme_1'}"
Wilma Labate,"{'Director': 'Wilma Labate', 'IMDb Page': 'https://www.imdb.com/name/nm0479373/?ref_=fn_nme_nme_1'}"
Giuliana Gamba,"{'Director': 'Giuliana Gamba', 'IMDb Page': 'https://www.imdb.com/name/nm0303666/?ref_=fn_nme_nme_1'}"
Francesca Comencini,"{'Director': 'Francesca Comencini', 'IMDb Page': 'https://www.imdb.com/name/nm0173726/?ref_=fn_nme_nme_1'}"
Berna Huebner,"{'Director': 'Berna Huebner', 'IMDb Page': 'https://www.imdb.com/name/nm3790811/?ref_=fn_nme_nme_1'}"
Wendy Jo Carlton,"{'Director': 'Wendy Jo Carlton', 'IMDb Page': 'https://www.imdb.com/name/nm0138238/?ref_=fn_nme_nme_1'}"
Romina Paula,"{'Director': 'Romina Paula', 'IMDb Page': 'https://www.imdb.com/name/nm1923991/?ref_=fn_nme_nme_1'}"
Laura Harwarth,"{'Director': 'Laura Harwarth', 'IMDb Page': 'https://www.imdb.com/name/nm4698291/?ref_=fn_nme_nme_1'}"
Liana Marabini,"{'Director': 'Liana Marabini', 'IMDb Page': 'https://www.imdb.com/name/nm3190129/?ref_=fn_nme_nme_1'}"
Lina Rodríguez,"{'Director': 'Lina Rodríguez', 'IMDb Page': 'https://www.imdb.com/name/nm0526046/?ref_=fn_nme_nme_1'}"
Sylvie Ayme,"{'Director': 'Sylvie Ayme', 'IMDb Page': 'https://www.imdb.com/name/nm0043909/?ref_=fn_nme_nme_1'}"
Yael Bartana,"{'Director': 'Yael Bartana', 'IMDb Page': 'https://www.imdb.com/name/nm3623268/?ref_=fn_nme_nme_1'}"
Dana Rotberg,"{'Director': 'Dana Rotberg', 'IMDb Page': 'https://www.imdb.com/name/nm0744721/?ref_=fn_nme_nme_1'}"
Ric Esther Bienstock,"{'Director': 'Ric Esther Bienstock', 'IMDb Page': 'https://www.imdb.com/name/nm0081516/?ref_=fn_nme_nme_1'}"
Malene Ravn,"{'Director': 'Malene Ravn', 'IMDb Page': 'https://www.imdb.com/name/nm4670281/?ref_=fn_nme_nme_1'}"
Mayu Akiyama,"{'Director': 'Mayu Akiyama', 'IMDb Page': 'https://www.imdb.com/name/nm10775093/?ref_=fn_nme_nme_1'}"
Angèle Diabang Brener,"{'Director': 'Angèle Diabang Brener', 'IMDb Page': 'https://www.imdb.com/name/nm2687886/?ref_=fn_nme_nme_1'}"
Pooja Gurung,"{'Director': 'Pooja Gurung', 'IMDb Page': 'https://www.imdb.com/name/nm4092498/?ref_=fn_nme_nme_1'}"
Annette K. Olesen,"{'Director': 'Annette K. Olesen', 'IMDb Page': 'https://www.imdb.com/name/nm0646299/?ref_=fn_nme_nme_1'}"
Jia Ling,"{'Director': 'Jia Ling', 'IMDb Page': 'https://www.imdb.com/name/nm7896231/?ref_=fn_nme_nme_1'}"
Yhan Chávez,"{'Director': 'Yhan Chávez', 'IMDb Page': 'https://www.imdb.com/name/nm5324310/?ref_=fn_nme_nme_1'}"
Marzieh Meshkini,"{'Director': 'Marzieh Meshkini', 'IMDb Page': 'https://www.imdb.com/name/nm0581863/?ref_=fn_nme_nme_1'}"
Amber Benson,"{'Director': 'Amber Benson', 'IMDb Page': 'https://www.imdb.com/name/nm0072435/?ref_=fn_nme_nme_1'}"
Maya Dreifuss,"{'Director': 'Maya Dreifuss', 'IMDb Page': 'https://www.imdb.com/name/nm3520674/?ref_=fn_nme_nme_1'}"
Tiffanie DeBartolo,"{'Director': 'Tiffanie DeBartolo', 'IMDb Page': 'https://www.imdb.com/name/nm0213329/?ref_=fn_nme_nme_1'}"
Manu Luksch,"{'Director': 'Manu Luksch', 'IMDb Page': 'https://www.imdb.com/name/nm0525740/?ref_=fn_nme_nme_1'}"
Miruna Coca-Cozma,"{'Director': 'Miruna Coca-Cozma', 'IMDb Page': 'https://www.imdb.com/name/nm3027171/?ref_=fn_nme_nme_1'}"
Mona Nicoara,"{'Director': 'Mona Nicoara', 'IMDb Page': 'https://www.imdb.com/name/nm2817954/?ref_=fn_nme_nme_1'}"
Pegi Vail,"{'Director': 'Pegi Vail', 'IMDb Page': 'https://www.imdb.com/name/nm0883206/?ref_=fn_nme_nme_1'}"
Irene von Alberti,"{'Director': 'Irene von Alberti', 'IMDb Page': 'https://www.imdb.com/name/nm0901861/?ref_=fn_nme_nme_1'}"
Marion Lipschutz,"{'Director': 'Marion Lipschutz', 'IMDb Page': 'https://www.imdb.com/name/nm0513726/?ref_=fn_nme_nme_1'}"
Eva Orner,"{'Director': 'Eva Orner', 'IMDb Page': 'https://www.imdb.com/name/nm0650321/?ref_=fn_nme_nme_1'}"
Nikole Beckwith,"{'Director': 'Nikole Beckwith', 'IMDb Page': 'https://www.imdb.com/name/nm2859868/?ref_=fn_nme_nme_1'}"
Ena Sendijarevic,"{'Director': 'Ena Sendijarevic', 'IMDb Page': 'https://www.imdb.com/name/nm5959869/?ref_=fn_nme_nme_1'}"
Anocha Suwichakornpong,"{'Director': 'Anocha Suwichakornpong', 'IMDb Page': 'https://www.imdb.com/name/nm2300866/?ref_=fn_nme_nme_1'}"
Julia Loktev,"{'Director': 'Julia Loktev', 'IMDb Page': 'https://www.imdb.com/name/nm0518123/?ref_=fn_nme_nme_1'}"
Susan Jacobson,"{'Director': 'Susan Jacobson', 'IMDb Page': 'https://www.imdb.com/name/nm1112893/?ref_=fn_nme_nme_1'}"
JoBeth Williams,"{'Director': 'JoBeth Williams', 'IMDb Page': 'https://www.imdb.com/name/nm0001851/?ref_=fn_nme_nme_1'}"
Lisa Lamarche,"{'Director': 'Lisa Lamarche', 'IMDb Page': 'https://www.imdb.com/name/nm12452938/?ref_=fn_nme_nme_1'}"
Enrica Pérez Matos,"{'Director': 'Enrica Pérez Matos', 'IMDb Page': 'Not Found'}"
Susan Seidelman,"{'Director': 'Susan Seidelman', 'IMDb Page': 'https://www.imdb.com/name/nm0782384/?ref_=fn_nme_nme_1'}"
Mari Asato,"{'Director': 'Mari Asato', 'IMDb Page': 'https://www.imdb.com/name/nm1977463/?ref_=fn_nme_nme_1'}"
Elsa Maria Jakobsdottir,"{'Director': 'Elsa Maria Jakobsdottir', 'IMDb Page': 'https://www.imdb.com/name/nm4419548/?ref_=fn_nme_nme_1'}"
Chiska Doppert,"{'Director': 'Chiska Doppert', 'IMDb Page': 'https://www.imdb.com/name/nm11390273/?ref_=fn_nme_nme_1'}"
Nettie Wild,"{'Director': 'Nettie Wild', 'IMDb Page': 'https://www.imdb.com/name/nm0928370/?ref_=fn_nme_nme_1'}"
Josiane Balasko,"{'Director': 'Josiane Balasko', 'IMDb Page': 'https://www.imdb.com/name/nm0001929/?ref_=fn_nme_nme_1'}"
Julia Ducournau,"{'Director': 'Julia Ducournau', 'IMDb Page': 'https://www.imdb.com/name/nm4469445/?ref_=fn_nme_nme_1'}"
Anneliese Vandenberg,"{'Director': 'Anneliese Vandenberg', 'IMDb Page': 'https://www.imdb.com/name/nm2759106/?ref_=fn_nme_nme_1'}"
Angela Robinson,"{'Director': 'Angela Robinson', 'IMDb Page': 'https://www.imdb.com/name/nm1286340/?ref_=fn_nme_nme_1'}"
Gulshat Omarova,"{'Director': 'Gulshat Omarova', 'IMDb Page': 'https://www.imdb.com/name/nm0648344/?ref_=fn_nme_nme_1'}"
Caroline Labrèche,"{'Director': 'Caroline Labrèche', 'IMDb Page': 'https://www.imdb.com/name/nm3537925/?ref_=fn_nme_nme_1'}"
Katrine Kjærgård,"{'Director': 'Katrine Kjærgård', 'IMDb Page': 'https://www.imdb.com/name/nm1330724/?ref_=fn_nme_nme_1'}"
Izabel Barsive,"{'Director': 'Izabel Barsive', 'IMDb Page': 'https://www.imdb.com/name/nm2935254/?ref_=fn_nme_nme_1'}"
Nneka Onuorah,"{'Director': 'Nneka Onuorah', 'IMDb Page': 'https://www.imdb.com/name/nm5283727/?ref_=fn_nme_nme_1'}"
Céline Sciamma,"{'Director': 'Céline Sciamma', 'IMDb Page': 'https://www.imdb.com/name/nm1780037/?ref_=fn_nme_nme_1'}"
Nadia Ramoutar,"{'Director': 'Nadia Ramoutar', 'IMDb Page': 'https://www.imdb.com/name/nm3203881/?ref_=fn_nme_nme_1'}"
Michèle Lemieux,"{'Director': 'Michèle Lemieux', 'IMDb Page': 'https://www.imdb.com/name/nm1540075/?ref_=fn_nme_nme_1'}"
Heather O'Neill,"{'Director': ""Heather O'Neill"", 'IMDb Page': 'https://www.imdb.com/name/nm1960472/?ref_=fn_nme_nme_1'}"
